Annotation validation issues (280):
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper/betting-deposit_limit_controls-constraint.yaml betting.deposit_limit_controls
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper/betting-geofencing_regulated_markets-constraint.yaml betting.geofencing_regulated_markets
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper/betting-license_check_adm_it-constraint.yaml betting.license_check_adm_it
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper/betting-license_check_anj_fr-constraint.yaml betting.license_check_anj_fr
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper/betting-license_check_dgoj_es-constraint.yaml betting.license_check_dgoj_es
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper/betting-license_check_ukgc-constraint.yaml betting.license_check_ukgc
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper/betting-license_check_us_nj_dge-constraint.yaml betting.license_check_us_nj_dge
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper/betting-license_check_us_nv_ngcb-constraint.yaml betting.license_check_us_nv_ngcb
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper/betting-license_check_us_pa_pgcb-constraint.yaml betting.license_check_us_pa_pgcb
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper/betting-self_exclusion_uk_gamstop-constraint.yaml betting.self_exclusion_uk_gamstop
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-adr_provider_listed_uk-constrainttemplate.yaml betting.adr_provider_listed_uk
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-ads_bonus_terms_fair_clear-constrainttemplate.yaml betting.ads_bonus_terms_fair_clear
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-ads_no_minors_targeting-constrainttemplate.yaml betting.ads_no_minors_targeting
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-affordability-checks-uk-constrainttemplate.yaml betting.affordability_checks_uk
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-age_verification_before_gambling_uk-constrainttemplate.yaml betting.age_verification_before_gambling_uk
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-aml_high_risk_country_restrictions-constrainttemplate.yaml betting.aml_high_risk_country_restrictions
